RegionCode,Player,Team,Nationality,KbmOrController,Age,Twitter
ASIA,FA Zuity iwnl,Free Agent,,,,
ASIA,fate qt,Free Agent,,,,
ASIA,fev1y,Free Agent,,,,
ASIA,First.Laquax,Free Agent,,,,
ASIA,FL.Salvo,Free Agent,,,,
ASIA,FL.Spirit,Free Agent,,,,
ASIA,flipz03,Free Agent,,,,
ASIA,flo1zy buterbrod,Free Agent,,,,
ASIA,FR._.Apxli iwnl,Free Agent,,,,
ASIA,FR._.Aqxli iwnl,Free Agent,,,,
ASIA,FR._.性犯罪者べんざ.幼女.,Free Agent,,,,
ASIA,Frenzy.iwnl,Free Agent,,,,
ASIA,Fラン童貞根暗香川うどんぜーれ,Free Agent,,,,
ASIA,G_Orca,Free Agent,,,,
ASIA,Galassia,Free Agent,,,,
ASIA,Gambit.leyyner,Free Agent,,,,
ASIA,Gambit.Night Owl,Free Agent,,,,
ASIA,gash iwnl,Free Agent,,,,
ASIA,GCBM BellTick,Free Agent,,,,
ASIA,GCBM BoKyu,Free Agent,,,,
ASIA,GCBM CoSa,Free Agent,,,,
ASIA,GCBM GGK,Free Agent,,,,
ASIA,GE_fa1zzy,Free Agent,,,,
ASIA,GE_milfy1,Free Agent,,,,
ASIA,GE_Nut,Free Agent,,,,
ASIA,GE_Paengdol,Free Agent,,,,
ASIA,GE_Swillium,Free Agent,,,,
ASIA,GE_Zuko,Free Agent,,,,
ASIA,Ghost かおる,Free Agent,,,,
ASIA,GL_bykn,Free Agent,,,,
ASIA,GL_GULICK,Free Agent,,,,
ASIA,GL_Nizzy,Free Agent,,,,
ASIA,GL_Shiras,Free Agent,,,,
ASIA,Glanz_Nekorip,Free Agent,,,,
ASIA,Goodbye smile gg,Free Agent,,,,
ASIA,GS_taaku,Free Agent,,,,
ASIA,GW_Nephrite,Free Agent,,,,
ASIA,HarentiFN,Free Agent,,,,
ASIA,Hari.xxz,Free Agent,,,,
ASIA,HÄTĘ,Free Agent,,,,
ASIA,Hi Im Kuronon,Free Agent,,,,
ASIA,hipster.ista,Free Agent,,,,
ASIA,hisoooo,Free Agent,,,,
ASIA,HN-Bunta,Free Agent,,,,
ASIA,HN-Cold,Free Agent,,,,
ASIA,HN-Dom,Free Agent,,,,
ASIA,HN-Fuxz,Free Agent,,,,
ASIA,HN-KG,Free Agent,,,,
ASIA,HN-Tempura,Free Agent,,,,
ASIA,Hydra_ZeuX 1HP,Free Agent,,,,
ASIA,I am TienND,Free Agent,,,,
ASIA,I LIKE toothlees,Free Agent,,,,
ASIA,I Revives V,Free Agent,,,,
ASIA,Iam伊藤えるべりあ,Free Agent,,,,
ASIA,iaskillpoka,Free Agent,,,,
ASIA,IG_Mei.CN,Free Agent,,,,
ASIA,ILL iwnl,Free Agent,,,,
ASIA,Im isikland,Free Agent,,,,
ASIA,Im NNM,Free Agent,,,,
ASIA,IMP Sanctier,Free Agent,,,,
ASIA,IMP WarOGod,Free Agent,,,,
ASIA,Impact Jeongwoo,Free Agent,,,,
ASIA,Impact Zepher,Free Agent,,,,
ASIA,Instinct History,Free Agent,,,,
ASIA,Instinct Nest,Free Agent,,,,
ASIA,iNTRO-o-,Free Agent,,,,
ASIA,irohaNiho,Free Agent,,,,
ASIA,itigogumi.,Free Agent,,,,
ASIA,Its 黄金米青子,Free Agent,,,,
ASIA,IWill Never Lose,Free Agent,,,,
ASIA,JET CHICKENOOB,Free Agent,,,,
ASIA,JET SHIRONEKO,Free Agent,,,,
ASIA,jigsocw,Free Agent,,,,
ASIA,JOB.しゅんしゃん,Free Agent,,,,
ASIA,JOB.はなくそ,Free Agent,,,,
ASIA,Joniel.,Free Agent,,,,
ASIA,K2 Rawzy,Free Agent,,,,
ASIA,kawaii kurono,Free Agent,,,,
ASIA,kawaiiぼくはるとーんㅎωㅎ,Free Agent,,,,
ASIA,KENTAch-YOUTUBE,Free Agent,,,,
ASIA,KGA backho,Free Agent,,,,
ASIA,KGA SexyBoy,Free Agent,,,,
ASIA,KhuuChanMan,Free Agent,,,,
ASIA,Kibᴏ,Free Agent,,,,
ASIA,kii_strawberry,Free Agent,,,,
ASIA,Killed By NetloV,Free Agent,,,,
ASIA,KING Sexyboy,Free Agent,,,,
ASIA,King.Sone,Free Agent,,,,
ASIA,KinG_1peace,Free Agent,,,,
ASIA,KING-Velody1,Free Agent,,,,
ASIA,KINGzzzzx,Free Agent,,,,
ASIA,Komechiﺕ,Free Agent,,,,
ASIA,KOR Destyle,Free Agent,,,,
ASIA,KOR Dorothyت,Free Agent,,,,
ASIA,KOR きなこもちت,Free Agent,,,,
ASIA,Kou always lose,Free Agent,,,,
ASIA,kou_o,Free Agent,,,,
ASIA,KurehaFN,Free Agent,,,,
ASIA,Kuzeи,Free Agent,,,,
ASIA,Kyaro_oO,Free Agent,,,,
ASIA,KZB kazuui,Free Agent,,,,
ASIA,KZB Noo-san,Free Agent,,,,
ASIA,Kzswag.MN,Free Agent,,,,
ASIA,LeXy ReaLize,Free Agent,,,,
ASIA,LF-Rotation.CN,Free Agent,,,,
ASIA,LF-小阿星.CN,Free Agent,,,,
ASIA,Liberta あえお,Free Agent,,,,
ASIA,Liberta えぬじー,Free Agent,,,,
ASIA,Liberta ぼくラグナ,Free Agent,,,,
ASIA,Liberta ぼくるくる,Free Agent,,,,
ASIA,Liebe.zýna,Free Agent,,,,
ASIA,Liebe.まいふぁっきんYT,Free Agent,,,,
ASIA,Liebe.ろど様 iwnl,Free Agent,,,,
ASIA,Like Sparkle,Free Agent,,,,
ASIA,liryC,Free Agent,,,,
ASIA,llllIlIlIlIlIlI,Free Agent,,,,
ASIA,LN となりのあれな_Ytube,Free Agent,,,,
ASIA,loserA iwnl,Free Agent,,,,
ASIA,Loski HarlemO,Free Agent,,,,
ASIA,LukeGG.,Free Agent,,,,
ASIA,Lx1 Konoh4,Free Agent,,,,
ASIA,Lyick_,Free Agent,,,,
ASIA,LZ nabongfs,Free Agent,,,,
ASIA,M_Hungry,Free Agent,,,,
ASIA,Macyfishy,Free Agent,,,,
ASIA,Maesar xd,Free Agent,,,,
ASIA,MaGuR_-o,Free Agent,,,,
ASIA,Märtý,Free Agent,,,,
ASIA,Mathew444,Free Agent,,,,
ASIA,Maufin xd,Free Agent,,,,
ASIA,MCL_Pinokio,Free Agent,,,,
ASIA,MCL_Rebel,Free Agent,,,,
ASIA,Me N ツ,Free Agent,,,,
ASIA,MegaNeiKu,Free Agent,,,,
ASIA,Meta Envy,Free Agent,,,,
ASIA,Meta HardCarry,Free Agent,,,,
ASIA,Meta Hood.J,Free Agent,,,,
ASIA,Meta Peterpan,Meta Gaming,South Korea,KB&M,18,
ASIA,Meta SinOoh,Free Agent,,,,
ASIA,Meta Spidermon,Free Agent,,,,
ASIA,MichelleLOK,Free Agent,,,,
ASIA,Misty Aim,Free Agent,,,,
ASIA,Mistでちゅｗｗｗｗｗｗｗｗ,Free Agent,,,,
ASIA,MiTH_MUSTACH3z,Free Agent,,,,
ASIA,MJF A4なの,Free Agent,,,,
ASIA,MJF t4kEm4Ruu,Free Agent,,,,
ASIA,MJF TOR,Free Agent,,,,
ASIA,MJF Zenith gzw,Free Agent,,,,
ASIA,MJF たけまるぅぅ,Free Agent,,,,
ASIA,Mnski A6ed,Free Agent,,,,
ASIA,Monster_Chrom,Free Agent,,,,
ASIA,MRenegadeYT,Free Agent,,,,
ASIA,Mrs.Aimbotッ,Free Agent,,,,
ASIA,MrsGREEEEN,Free Agent,,,,
ASIA,Mrチップ,Free Agent,,,,
ASIA,Mzerツ,Free Agent,,,,
ASIA,NAKAMURAMM,Free Agent,,,,
ASIA,Natakuchaaa,Free Agent,,,,
ASIA,native bot,Free Agent,,,,
ASIA,Neckokun.,Free Agent,,,,
ASIA,NeverMore.ista,Free Agent,,,,
ASIA,New Gaymer,Free Agent,,,,
ASIA,Newbee_uxo,Free Agent,,,,
ASIA,Newbee_WenQian,Free Agent,,,,
ASIA,Newbee_xMende,Newbee,China,KB&M,,
ASIA,NewbeeXXM,Newbee,China,KB&M,,
ASIA,NEXUS_ℳฺikage.,Free Agent,,,,
ASIA,NEXUS_와와치,Free Agent,,,,
ASIA,NEXUS_怪人王タラコ,Free Agent,,,,
ASIA,NoNameGarbage,Free Agent,,,,
ASIA,noonMap,Free Agent,,,,
ASIA,Not Autoxic,Free Agent,,,,
ASIA,Not Shaik,Free Agent,,,,
ASIA,Not Stunt,Free Agent,,,,
ASIA,NotSai,Free Agent,,,,
ASIA,ƝuLL,Free Agent,,,,
ASIA,NW_ちょっとまってちょこみんと,Free Agent,,,,
ASIA,NW_田邊 裕也と申しますッ,Free Agent,,,,
ASIA,Nwell buterbrod,Free Agent,,,,
ASIA,OJZ.Mint iwnl,Free Agent,,,,
ASIA,OJZ.Qjac No.1,Free Agent,,,,
ASIA,OriGnqL,Free Agent,,,,
ASIA,Ortensia Gepard,Free Agent,,,,
ASIA,Ortensia Minty,Free Agent,,,,
ASIA,Ortensia MonJ,Free Agent,,,,
ASIA,Overlordism,Free Agent,,,,
ASIA,Pacify RaymarkPH,Free Agent,,,,
ASIA,Pëćø,Free Agent,,,,
ASIA,Phate-o-,Free Agent,,,,
ASIA,Physecks,Free Agent,,,,
ASIA,postal.hk,Free Agent,,,,
ASIA,Psyduck-,Free Agent,,,,
ASIA,qisury,Free Agent,,,,
ASIA,RAK Tilt,Free Agent,,,,
ASIA,rarapon,Free Agent,,,,
ASIA,rash -_-,Free Agent,,,,
ASIA,RATE.Gash,Free Agent,,,,
ASIA,Rdp hakut,Free Agent,,,,
ASIA,Rdp Kame,Free Agent,,,,
ASIA,Rdp Pipe,Free Agent,,,,
ASIA,Recerofn,Free Agent,,,,
ASIA,Refrɇt,Free Agent,,,,
ASIA,Rein is Ac,Free Agent,,,,
ASIA,remutaso,Free Agent,,,,
ASIA,rerepon ッ,Free Agent,,,,
ASIA,RICCA iwnl,Free Agent,,,,
ASIA,Riddle Aiz,Free Agent,,,,
ASIA,Riddle Fire,Free Agent,,,,
ASIA,Riddle GoriX,Free Agent,,,,
ASIA,Riddle Lexqss,Free Agent,,,,
ASIA,Riddle Nisidera,Free Agent,,,,
ASIA,Riddle Reo,Free Agent,,,,
ASIA,Rinkyfishy,Free Agent,,,,
ASIA,Roguekorea,Free Agent,,,,
ASIA,RRQ Hеrо Kappa,Free Agent,,,,
ASIA,RRQ xd Daniel,Free Agent,,,,
ASIA,Rrypt,Free Agent,,,,
ASIA,RSG Hatella,Free Agent,,,,
ASIA,RSG Invoke,Free Agent,,,,
ASIA,RSG Maoo,Free Agent,,,,
ASIA,RSG Ryzera,Free Agent,,,,
ASIA,RSG Wisa,Free Agent,,,,
ASIA,RTG Visqu1n,Free Agent,,,,
ASIA,rukihaZyC,Free Agent,,,,
ASIA,RVG_Acis,Free Agent,,,,
ASIA,RVG_Kushi,Free Agent,,,,
ASIA,RVG_Saruzy,Free Agent,,,,
ASIA,RVG_YAMAKIN,Free Agent,,,,
ASIA,Rz.Bombclown,Free Agent,,,,
ASIA,Rz.bomsan,Free Agent,,,,
ASIA,Rz.MrCrystal X,Free Agent,,,,
ASIA,Rz.ドメスティックなちょこらぶ,Free Agent,,,,
ASIA,Rz.剣聖たこ,Free Agent,,,,
ASIA,Rz.剣聖ぺた,Free Agent,,,,
ASIA,Rz.友達零式SEKOSAMA,Free Agent,,,,
ASIA,Rz.殲滅のぜるくん,Free Agent,,,,
ASIA,Rz.鬼滅のあめれいん,Free Agent,,,,
ASIA,Rz.鬼滅のじゅえる,Free Agent,,,,
ASIA,Rz.鬼滅のせるち,Free Agent,,,,
ASIA,s1ck 幸,Free Agent,,,,
ASIA,sad boy ted,Free Agent,,,,
ASIA,sad boy tom iwnl,Free Agent,,,,
ASIA,SaewooTV,Free Agent,,,,
ASIA,Sakuッ,Free Agent,,,,
ASIA,SCARZ Akipotin_n,Free Agent,,,,
ASIA,SCARZ_Lise ㅎㅅㅎ,Free Agent,,,,
ASIA,SCARZ_MuGI ㅎωㅎ,Free Agent,,,,
ASIA,Scout Mackwood-,Free Agent,,,,
ASIA,scytheGG.,Free Agent,,,,
ASIA,Seal iwnl,Free Agent,,,,
ASIA,Selia_x,Free Agent,,,,
ASIA,seopyun,Free Agent,,,,
ASIA,Shin gwan,Free Agent,,,,
ASIA,Shinckyfishy,Free Agent,,,,
ASIA,ShiRley_o,Free Agent,,,,
ASIA,siatan_dayo,Free Agent,,,,
ASIA,sickerz.iwnl,Free Agent,,,,
ASIA,sleepless.s,Free Agent,,,,
ASIA,Sly.Pablo.AM,Free Agent,,,,
ASIA,SnG_Donayre,Free Agent,,,,
ASIA,Snoopy-PH,Free Agent,,,,
ASIA,Space Infinity F,Free Agent,,,,
ASIA,sprRyü,Free Agent,,,,
ASIA,SqeR Ѧrticlle.,Free Agent,,,,
ASIA,SqeR じゅいず,Free Agent,,,,
ASIA,SqeR はむっぴ,Free Agent,,,,
ASIA,SquadZy -ZANE-,Free Agent,,,,
ASIA,SST sio,Free Agent,,,,
ASIA,STAN_除菌,Free Agent,,,,
ASIA,STARK_Slame,Free Agent,,,,
ASIA,staxy iwnl,Free Agent,,,,
ASIA,StēāÐÐý,Free Agent,,,,
ASIA,steady -_-,Free Agent,,,,
ASIA,Sternlicht.,Free Agent,,,,
ASIA,Strafe is sus,Free Agent,,,,
ASIA,Sunfloweboy,Free Agent,,,,
ASIA,SV teaming,Free Agent,,,,
ASIA,SV_0I,Free Agent,,,,
ASIA,SV_Gangsta.CN,Free Agent,,,,
ASIA,SV_Gtea.CN,Free Agent,,,,
ASIA,SV_hair.CN,Free Agent,,,,
ASIA,SV_Hootin.CN,Free Agent,,,,
ASIA,SV_MёŁŁ.CN,Free Agent,,,,
ASIA,SV_peach.CN,Free Agent,,,,
ASIA,SV_Saber.CN,Free Agent,,,,
ASIA,SvR.クレンYouTube,Free Agent,,,,
ASIA,SvR.たっとYouTube,Free Agent,,,,
ASIA,SvR.はすきぃYouTube,Free Agent,,,,
ASIA,SWIFT lucas,Free Agent,,,,
ASIA,SWIFT toggle,Free Agent,,,,
ASIA,SZ_KilluA,Free Agent,,,,
ASIA,SZ_Melon,Free Agent,,,,
ASIA,T1 Medusa iwnl,Free Agent,,,,
ASIA,T1 PSANGAE,Free Agent,,,,
ASIA,T1 Quickss,Free Agent,,,,
ASIA,T1 がちがち Arius,Free Agent,,,,
ASIA,Taturenyfishy,Free Agent,,,,
ASIA,Tensekiだぉ,Free Agent,,,,
ASIA,The Albedo,Free Agent,,,,
ASIA,The Cotatu,Free Agent,,,,
ASIA,The_Toys.,Free Agent,,,,
ASIA,THICCDADDY HELGA,Free Agent,,,,
ASIA,Tl Medusa,Free Agent,,,,
ASIA,TL-Nano,Free Agent,,,,
ASIA,TOP_Aimhero_o,Free Agent,,,,
ASIA,TOP_Banny iwnl,OP GAMING,South Korea,KB&M,18,
ASIA,TOP_include,Free Agent,,,,
ASIA,TOP_Ming,Free Agent,,,,
ASIA,TOP_Puzz,Free Agent,,,,
ASIA,TOP_がちがち FaxFox,Free Agent,,,,
ASIA,totot_Mix,Free Agent,,,,
ASIA,TriggerQQ Flame,Trigger QQ,Viet Nam,KB&M,,
ASIA,TriggerQQ Shadow,Free Agent,,,,
ASIA,TriggerQQ Uniq,Trigger QQ,Viet Nam,KB&M,,
ASIA,ttv JustMeKev.,Free Agent,,,,
ASIA,ttv.v1tmus,Free Agent,,,,
ASIA,Twitch_Kyuhan,Free Agent,,,,
ASIA,Twitter Okanuby.,Free Agent,,,,
ASIA,U s e r A,Free Agent,,,,
ASIA,Unknown iwnl,Free Agent,,,,
ASIA,Unknown.しのぶ,Free Agent,,,,
ASIA,unreal Osechi,Free Agent,,,,
ASIA,Use Code Kurse,Free Agent,,,,
ASIA,Use Code_NinNin,Free Agent,,,,
ASIA,USER-46976076f16,Free Agent,,,,
ASIA,VANC AROE,Free Agent,,,,
ASIA,VANC FŁøýď,Free Agent,,,,
ASIA,VANC ICHIGO,Free Agent,,,,
ASIA,VANC RaMu,Free Agent,,,,
ASIA,Vanddochi,Free Agent,,,,
ASIA,VegaS iwnl,Free Agent,,,,
ASIA,VegaS iwnl.,Free Agent,,,,
ASIA,Ventz is kawaii,Free Agent,,,,
ASIA,Violet CeRes,Free Agent,,,,
ASIA,Violet Dizarl,Free Agent,,,,
ASIA,Violet Doly,Free Agent,,,,
ASIA,Violet H 手汗 脇汗,Free Agent,,,,
ASIA,Violet るる,Free Agent,,,,
ASIA,WAW.meCyx,Free Agent,,,,
ASIA,WAW.NotWibu,Free Agent,,,,
ASIA,Weetakegames.,Free Agent,,,,
ASIA,Weibo_Aduo.CN,Free Agent,,,,
ASIA,Weibo_Easy.CN,Free Agent,,,,
ASIA,Weibo_Ljgjiu.CN,Free Agent,,,,
ASIA,Weibo_PangZi.CN,Free Agent,,,,
ASIA,Weibo_ShenLan.CN,Free Agent,,,,
ASIA,welqu,Free Agent,,,,
ASIA,West.jp,Free Agent,,,,
ASIA,WGS_HOON,Free Agent,,,,
ASIA,WGS_Horde,Free Agent,,,,
ASIA,WGS_JAG,Free Agent,,,,
ASIA,WGS_MacChan,Free Agent,,,,
ASIA,WGS_Qoo,Free Agent,,,,
ASIA,WGS_Sopra,Free Agent,,,,
ASIA,Winners Vicx,Free Agent,,,,
ASIA,WolfeyHyper,Free Agent,,,,
ASIA,wow its beep,Free Agent,,,,
ASIA,woи,Free Agent,,,,
ASIA,W-trY.M.,Free Agent,,,,
ASIA,xⅬqRphＷＷＷＷＷＷＷＷＷＷ,Free Agent,,,,
ASIA,XvS_crybaby,Free Agent,,,,
ASIA,XvS_jackpot,Free Agent,,,,
ASIA,YEEEEES 沢蟹,Free Agent,,,,
ASIA,yoink is my life,Free Agent,,,,
ASIA,Youtube Ac.RazL,Free Agent,,,,
ASIA,YouTube_Uru,Free Agent,,,,
ASIA,zakoheishi,Free Agent,,,,
ASIA,ZELLFYⒶ,Free Agent,,,,
ASIA,zenoxㅤ,Free Agent,,,,
ASIA,ZEROSIA JP,Free Agent,,,,
ASIA,zoomeyツ,Free Agent,,,,
ASIA,γλыδнμςьツ,Free Agent,,,,
ASIA,Σ.Mikoya,Free Agent,,,,
ASIA,Σ.サマーサーフィン,Free Agent,,,,
ASIA,Σ.しぐま,Free Agent,,,,
ASIA,Σ.太ってるたく,Free Agent,,,,
ASIA,Нубас l0GGОN,Free Agent,,,,
ASIA,одинокий сФынка,Free Agent,,,,
ASIA,رشدي ツ,Free Agent,,,,
ASIA,ਅਕਬਾਨਕੇਓ ਆਈਵਨਲ,Free Agent,,,,
ASIA,あすかいず,Free Agent,,,,
ASIA,あずりえる,Free Agent,,,,
ASIA,アリババァ,Free Agent,,,,
ASIA,かなぴ大先輩,Free Agent,,,,
ASIA,かぼちゃばたけ,Free Agent,,,,
ASIA,きちきち.,Free Agent,,,,
ASIA,くあたそ,Free Agent,,,,
ASIA,クッキールーキー,Free Agent,,,,
ASIA,ころえもぉぉん,Free Agent,,,,
ASIA,さとこいずでゅあるしょっくよん,Free Agent,,,,
ASIA,しなちゃんㅤ,Free Agent,,,,
ASIA,しゃるく.,Free Agent,,,,
ASIA,すーぱーすしや ツ,Free Agent,,,,
ASIA,せいきんの孫_x.Aim,Free Agent,,,,
ASIA,ぜーれだよ,Free Agent,,,,
ASIA,せれにうむ,Free Agent,,,,
ASIA,ちとせww,Free Agent,,,,
ASIA,デカポ戦士ちょこらぶ,Free Agent,,,,
ASIA,ドメスティックな菊池,Free Agent,,,,
ASIA,とりですですｗｗｗｗｗｗｗｗｗｗ,Free Agent,,,,
ASIA,なえとる君,Free Agent,,,,
ASIA,ニセコイが好きなAlice QQ,Free Agent,,,,
ASIA,ニセコイが好きなまみたん QQ,Free Agent,,,,
ASIA,ぬ.Mother陽子,Free Agent,,,,
ASIA,バナ夫 ッ,Free Agent,,,,
ASIA,ひだまりポカポカ キュアロゼッタ,Free Agent,,,,
ASIA,ピンクの悪魔カ一ビィ,Free Agent,,,,
ASIA,ふぉーとないたーmoryさん,Free Agent,,,,
ASIA,ふぉーとないたーふゆっぺ,Free Agent,,,,
ASIA,ぺがっとぺがぺが,Free Agent,,,,
